created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,mention_username
Sun Feb 26 21:49:18 +0000 2023,1629961832923385857,"Mt. Fuji, Japan 🇯🇵 https://t.co/gWi9C40N5c",4,1,120,1052,in,1468146555400110081,1629961832923385857,travly,https://twitter.com/travly/status/1629961832923385857,
Sat Feb 25 15:00:14 +0000 2023,1629496498521251843,@tanyarlfes Lah gue jg kalo jd fuji lg banyak2 nya cuan mending fokus aja ngumpulin. Lagian masih 20th buseeeet 😭😭😭 kenapasi kayak seolah2 wajib bgt nikah umur segitu????????,9,21,264,4929,in,1282344685399240706,1629443591558041606,ceritatehfidy,https://twitter.com/ceritatehfidy/status/1629496498521251843,tanyarlfes
Sat Feb 25 14:11:36 +0000 2023,1629484260238426113,"bulan December kemaren, Sunrise di New Jersey.  dengan kamera Fuji XE4 + 27mm f2.8 https://t.co/SkNHIHHqRr",3,4,75,741,in,65056227,1629484260238426113,govoes,https://twitter.com/govoes/status/1629484260238426113,
Sat Feb 25 11:40:45 +0000 2023,1629446296099774469,"@tanyarlfes Fuji bener ya anjir. Engga ya engga. Mapan doang ga cukup buat modal nikah. Banyak yang dipikirin ke depannya. Lagian, di umur 20, masih banyak hal yang bisa dinikmati diri sendiri sebelum terikat dan berkeluarga.",63,61,2384,27635,in,546675497,1629443591558041606,Mooncalfdung,https://twitter.com/Mooncalfdung/status/1629446296099774469,tanyarlfes
Sat Feb 25 11:35:00 +0000 2023,1629444848905494528,"@tanyarlfes Mohon maaf nih, semapan apapun laki lo seengaknya lo harus punya pegangan kalo gak lo bakal diinjek. Keluarga si laki ini juga terkenal problematik. Jangan lupa si Fuji ini cewek Minang , yang etosnya cewek pekerja keras seengaknya bisa berdiri di kaki sendiri.",7,5,110,2614,in,1495786048173256704,1629443591558041606,dietprogrezz,https://twitter.com/dietprogrezz/status/1629444848905494528,tanyarlfes
Sat Feb 25 11:30:00 +0000 2023,1629443591558041606,💚 Tapi menurut gue kalo pihak cowonya mapan gitu ga masalah si nikah di umur Fuji {20thn} bakal amannn. Kalo menurut kalian? https://t.co/hOuhUGPpKh,2866,6698,752,15573,in,1371650588,1629443591558041606,tanyarlfes,https://twitter.com/tanyarlfes/status/1629443591558041606,
Sat Feb 25 02:38:04 +0000 2023,1629309727074308096,@Askrlfess Fuji km mengambil jalan yg tepat bagus 😂,1,2,69,4353,in,1435542487586664449,1629307978930348032,mykeylop,https://twitter.com/mykeylop/status/1629309727074308096,Askrlfess
Fri Feb 24 03:40:00 +0000 2023,1628962924185407489,"Telat sehari untuk merayakan Hari Gunung Fuji, tapi tak pernah terlambat untuk menunjukkan betapa kerennya gunung satu ini.  Berurutan dari 1-4 : 1. Chureito Pagoda 2. Yamanaka Lake 3. Kawaguchiko Lake 4. Kawaguchi Asama Shrine https://t.co/0MJYze4kZT",8,39,227,1535,in,326059312,1628962924185407489,kevinpramudya_,https://twitter.com/kevinpramudya_/status/1628962924185407489,
Tue Feb 21 05:35:59 +0000 2023,1627904948116807680,Full Jav Sub Indo Khusus Cowo Sosmed biar semangat di hari Selasa 🔥 Apk vc$ https://t.co/kGIzB6kKY6  https://t.co/EpMEPRP3FX https://t.co/0HUI4Ms5rT https://t.co/xL28Tq4F73 https://t.co/Bgdi9T8VW9 https://t.co/ouTIqqxC4R  #ManCity #MUFC anime Comics Netflix Senin Fuji cats https://t.co/BsQs993vN0,10,55,1050,5512,in,2935585009,1627904948116807680,ratnalinda676,https://twitter.com/ratnalinda676/status/1627904948116807680,
Mon Feb 20 17:50:21 +0000 2023,1627727372454875137,"@tanyarlfes ALHAMDULILLAH WKWK gimana yak, untung banget dah harusnya fuji ga dpt Thoriq, ortunya thoriq aja sama mantu kek gitu. Buat para cewe diluaran sana, kalo mau serius sama cowo, please lihat ortunya dulu, kalo ortunya welcome ke kalian, lanjut gpp, kalo ortunya ga welcome, end aja.",30,39,212,1573,in,1215237590355304448,1627665626620915718,bukomangga_enak,https://twitter.com/bukomangga_enak/status/1627727372454875137,tanyarlfes
